date,order_id,product,category,region,amount,quantity
2025-01-05,ORD001,ノートPC,電子機器,東京,128000,1
2025-01-08,ORD002,マウス,周辺機器,大阪,3500,2
2025-01-12,ORD003,キーボード,周辺機器,東京,12000,1
2025-01-15,ORD004,モニター,電子機器,福岡,45000,1
2025-01-20,ORD005,USBケーブル,周辺機器,大阪,800,5
2025-02-03,ORD006,ノートPC,電子機器,東京,135000,1
2025-02-10,ORD007,タブレット,電子機器,名古屋,68000,1
2025-02-15,ORD008,マウス,周辺機器,福岡,3200,3
2025-02-22,ORD009,ヘッドセット,周辺機器,東京,15000,1
2025-02-28,ORD010,SSD,電子機器,大阪,22000,2
2025-03-05,ORD011,ノートPC,電子機器,名古屋,142000,1
2025-03-12,ORD012,モニター,電子機器,東京,52000,1
2025-03-18,ORD013,キーボード,周辺機器,福岡,8500,2
2025-03-25,ORD014,Webカメラ,周辺機器,大阪,9800,1
2025-03-30,ORD015,外付けHDD,電子機器,東京,18000,1
